2025-04-23 15:44:07,645 INFO    MainThread:168750 [wandb_setup.py:_flush():67] Current SDK version is 0.19.8
2025-04-23 15:44:07,646 INFO    MainThread:168750 [wandb_setup.py:_flush():67] Configure stats pid to 168750
2025-04-23 15:44:07,646 INFO    MainThread:168750 [wandb_setup.py:_flush():67] Loading settings from /home/thousig/.config/wandb/settings
2025-04-23 15:44:07,646 INFO    MainThread:168750 [wandb_setup.py:_flush():67] Loading settings from /home/thousig/fagproject/02466_project/wandb/settings
2025-04-23 15:44:07,646 INFO    MainThread:168750 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-04-23 15:44:07,646 INFO    MainThread:168750 [wandb_init.py:setup_run_log_directory():647] Logging user logs to /home/thousig/fagproject/02466_project/wandb/run-20250423_154407-due86tmv/logs/debug.log
2025-04-23 15:44:07,646 INFO    MainThread:168750 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to /home/thousig/fagproject/02466_project/wandb/run-20250423_154407-due86tmv/logs/debug-internal.log
2025-04-23 15:44:07,646 INFO    MainThread:168750 [wandb_init.py:init():761] calling init triggers
2025-04-23 15:44:07,646 INFO    MainThread:168750 [wandb_init.py:init():766] wandb.init called with sweep_config: {'batch_size': 32, 'data_type': 'train_c_n_1.pkl', 'epochs': 1500, 'learning_rate': 0.002168450932165421, 'model_modul_name': ['NN_models', 'NN_model1'], 'optimizer_name': 'SGD', 'seed': 456}
config: {'_wandb': {}}
2025-04-23 15:44:07,646 INFO    MainThread:168750 [wandb_init.py:init():784] starting backend
2025-04-23 15:44:07,646 INFO    MainThread:168750 [wandb_init.py:init():788] sending inform_init request
2025-04-23 15:44:07,652 INFO    MainThread:168750 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-04-23 15:44:07,653 INFO    MainThread:168750 [wandb_init.py:init():798] backend started and connected
2025-04-23 15:44:07,654 INFO    MainThread:168750 [wandb_run.py:_config_callback():1261] config_cb None None {'batch_size': 32, 'data_type': 'train_c_n_1.pkl', 'epochs': 1500, 'learning_rate': 0.002168450932165421, 'model_modul_name': ['NN_models', 'NN_model1'], 'optimizer_name': 'SGD', 'seed': 456}
2025-04-23 15:44:07,655 INFO    MainThread:168750 [wandb_init.py:init():891] updated telemetry
2025-04-23 15:44:07,660 INFO    MainThread:168750 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-04-23 15:44:08,250 INFO    MainThread:168750 [wandb_init.py:init():990] starting run threads in backend
2025-04-23 15:44:10,697 INFO    MainThread:168750 [wandb_run.py:_console_start():2375] atexit reg
2025-04-23 15:44:10,697 INFO    MainThread:168750 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-04-23 15:44:10,697 INFO    MainThread:168750 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-04-23 15:44:10,697 INFO    MainThread:168750 [wandb_run.py:_redirect():2315] Redirects installed.
2025-04-23 15:44:10,699 INFO    MainThread:168750 [wandb_init.py:init():1032] run started, returning control to user process
2025-04-23 15:44:10,702 INFO    MainThread:168750 [wandb_init.py:setup_run_log_directory():647] Logging user logs to /home/thousig/fagproject/02466_project/wandb/run-20250423_154410-due86tmv/logs/debug.log
2025-04-23 15:44:10,702 INFO    MainThread:168750 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to /home/thousig/fagproject/02466_project/wandb/run-20250423_154410-due86tmv/logs/debug-internal.log
2025-04-23 15:44:10,702 INFO    MainThread:168750 [wandb_init.py:init():761] calling init triggers
2025-04-23 15:44:10,702 INFO    MainThread:168750 [wandb_init.py:init():766] wandb.init called with sweep_config: {'batch_size': 32, 'data_type': 'train_c_n_1.pkl', 'epochs': 1500, 'learning_rate': 0.002168450932165421, 'model_modul_name': ['NN_models', 'NN_model1'], 'optimizer_name': 'SGD', 'seed': 456}
config: {'BATCH_SIZE': 32, 'LEARNING_RATE': 0.002168450932165421, 'EPOCHS': 1500, 'SEED': 456, '_wandb': {}}
2025-04-23 15:44:10,702 INFO    MainThread:168750 [wandb_init.py:init():776] wandb.init() called while a run is active
2025-04-23 15:44:22,595 INFO    MsgRouterThr:168750 [mailbox.py:close():129] Closing mailbox, abandoning 0 handles.
